name,impl,M,N,K,group_size,priority,tag,ms_mean,ms_p50,ms_p95,ms_min,tflops_mean,speedup_vs_fp16,error
8b-b1,fp16,1,4096,4096,128,0,llama-3-8b,0.031485823631286616,0.03128191947937012,0.03333247900009155,0.030536320209503174,1.065699674651606,1.0,
8b-b1,marlin,1,4096,4096,128,0,llama-3-8b,0.04932159900665283,0.04929855823516846,0.050101118087768556,0.04868607997894287,0.6803192247573715,0.6383779979850125,
8b-b4,fp16,4,4096,4096,128,0,llama-3-8b,0.031109248161315918,0.03108288049697876,0.031852159500122074,0.030641920566558838,4.3143996056741285,1.0,
8b-b4,marlin,4,4096,4096,128,0,llama-3-8b,0.049413503646850584,0.04933504104614258,0.04998335838317871,0.04883967876434326,2.7162155705296662,0.6295697707179017,
8b-b8,fp16,8,4096,4096,128,0,llama-3-8b,0.031138304233551024,0.031077120304107666,0.03157824039459228,0.030805120468139647,8.620747423707328,1.0,
8b-b8,marlin,8,4096,4096,128,0,llama-3-8b,0.04992921543121338,0.04937983989715576,0.05245567798614502,0.048923521041870116,5.376320330324815,0.6236489791522907,
70b-tp2-b1,fp16,1,8192,4096,128,0,llama-3-70b,0.0499359998703003,0.04868544101715088,0.05492608070373535,0.048542718887329105,1.3438974722505426,1.0,
70b-tp2-b1,marlin,1,8192,4096,128,0,llama-3-70b,0.04960268688201904,0.049536638259887696,0.05030464172363281,0.04909311771392822,1.3529280008484166,1.006719655914488,
70b-tp2-b4,fp16,4,8192,4096,128,0,llama-3-70b,0.04888806343078613,0.048923521041870116,0.04904128074645996,0.04871103763580322,5.490817945366986,1.0,
70b-tp2-b4,marlin,4,8192,4096,128,0,llama-3-70b,0.04930214405059814,0.04949632167816162,0.04953023910522461,0.048799362182617184,5.4447014662183495,0.9916011640510594,
70b-tp2-b8,fp16,8,8192,4096,128,0,llama-3-70b,0.049118206977844234,0.049133439064025876,0.04922239780426026,0.048924798965454104,10.93018139367682,1.0,
70b-tp2-b8,marlin,8,8192,4096,128,0,llama-3-70b,0.04914662361145019,0.04927743911743164,0.04943679809570312,0.048578557968139646,10.923861550377588,0.9994217988639339,
